"Code";"Name";"professors;total;total;2005;[person]";"professors;total;total;2006;[person]";"professors;total;total;2007;[person]";"professors;total;total;2008;[person]";"professors;total;total;2009;[person]";"professors;total;total;2010;[person]";"professors;total;total;2011;[person]";"professors;total;total;2012;[person]";"professors;total;total;2013;[person]";"professors;total;total;2014;[person]";"professors;total;total;2015;[person]";"professors;total;total;2016;[person]";"professors;total;total;2017;[person]";"professors;total;total;2018;[person]";
0000000;"POLAND";22570;22188;22582;23004;23653;23794;23922;23934;23414.0;23107.6;23178.2;23197.4;22690.6;21635.3;
0200000;"DOLNOŚLĄSKIE";1929;1821;1862;1908;1962;1999;2001;2006;1897.2;1949.5;1947.4;1911.0;1852.1;1793.3;
0400000;"KUJAWSKO-POMORSKIE";1067;1093;1092;1144;1137;1159;1163;1167;1176.0;1147.7;1119.3;1168.1;1141.3;1034.7;
0600000;"LUBELSKIE";1257;1236;1254;1290;1327;1365;1382;1381;1356.0;1349.1;1307.9;1295.2;1282.8;1348.8;
0800000;"LUBUSKIE";365;330;334;340;332;339;361;360;357.0;349.0;365.8;380.2;387.8;332.5;
1000000;"ŁÓDZKIE";1703;1767;1881;1890;1917;1850;1796;1697;1658.7;1590.5;1599.3;1626.1;1579.6;1471.6;
1200000;"MAŁOPOLSKIE";2423;2448;2510;2602;2676;2667;2690;2646;2630.0;2644.8;2595.9;2650.7;2621.1;2544.9;
1400000;"MAZOWIECKIE";4517;4353;4394;4416;4604;4575;4648;4713;4767.4;4659.8;4679.1;4475.6;4351.4;4006.1;
1600000;"OPOLSKIE";415;402;420;431;445;442;465;449;430.9;418.7;444.3;437.7;444.0;422.6;
1800000;"PODKARPACKIE";724;704;718;719;738;735;748;768;733.1;762.9;771.7;782.7;768.3;722.8;
2000000;"PODLASKIE";606;611;636;661;690;655;662;665;623.1;605.1;591.8;599.6;593.0;535.4;
2200000;"POMORSKIE";1179;1191;1252;1259;1264;1327;1343;1422;1388.5;1394.1;1451.7;1478.5;1524.0;1494.1;
2400000;"ŚLĄSKIE";2068;2021;1981;1990;2062;2128;2144;2160;1968.8;1909.6;1906.7;1983.4;1846.5;1837.8;
2600000;"ŚWIĘTOKRZYSKIE";498;491;481;496;495;499;484;464;498.6;470.4;485.2;488.9;500.4;445.8;
2800000;"WARMIŃSKO-MAZURSKIE";727;686;708;733;723;698;682;707;658.8;636.3;637.3;629.4;599.1;550.5;
3000000;"WIELKOPOLSKIE";2181;2127;2147;2155;2266;2315;2323;2326;2314.2;2283.3;2314.4;2318.8;2255.3;2187.8;
3200000;"ZACHODNIOPOMORSKIE";911;907;912;970;1015;1041;1030;1003;955.7;936.8;960.4;971.5;943.9;906.6;
