"Code";"Name";"for education;2005;[PLN]";"for education;2006;[PLN]";"for education;2007;[PLN]";"for education;2008;[PLN]";"for education;2009;[PLN]";"for education;2010;[PLN]";"for education;2011;[PLN]";"for education;2012;[PLN]";"for education;2013;[PLN]";"for education;2014;[PLN]";"for education;2015;[PLN]";"for education;2016;[PLN]";"for education;2017;[PLN]";"for education;2018;[PLN]";"for education;2019;[PLN]";"for education;2020;[PLN]";"for education;2021;[PLN]";
0000000;"POLAND";16;17.13;17.14;19.44;27.52;21.04;22.59;24.86;24.14;22.65;19.43;17.26;19.86;23.33;24.07;25.00;;
0200000;"DOLNOŚLĄSKIE";15;16.38;17.51;19.26;37.43;37.47;39.11;53.97;44.01;33.30;23.57;18.05;19.61;26.36;24.97;22.85;;
0400000;"KUJAWSKO-POMORSKIE";21;19.40;20.31;21.97;25.68;25.93;31.11;28.63;28.60;28.58;27.07;25.05;26.02;28.19;29.41;31.73;;
0600000;"LUBELSKIE";15;17.60;18.86;19.42;19.65;19.22;20.94;22.87;22.17;22.18;20.44;19.47;20.11;21.34;21.86;25.46;;
0800000;"LUBUSKIE";11;12.47;12.73;12.85;37.64;16.62;18.19;16.55;16.82;16.52;17.49;16.10;16.63;16.48;17.09;19.08;;
1000000;"ŁÓDZKIE";14;13.87;14.77;17.18;51.35;21.15;22.86;22.99;20.72;20.02;18.14;14.88;15.21;16.35;18.40;16.88;;
1200000;"MAŁOPOLSKIE";15;14.70;14.52;17.23;18.30;16.20;15.60;27.83;23.06;19.53;18.15;18.50;21.66;23.98;22.18;24.11;;
1400000;"MAZOWIECKIE";19;23.65;23.48;30.76;33.78;22.22;23.41;24.74;23.58;24.11;22.23;19.07;21.13;24.86;29.94;30.89;;
1600000;"OPOLSKIE";23;24.49;19.16;20.93;32.94;28.25;22.87;21.51;21.31;18.15;15.57;22.55;46.05;36.86;41.68;44.52;;
1800000;"PODKARPACKIE";17;23.49;22.02;26.95;35.08;28.34;29.35;32.75;44.00;42.48;30.94;21.53;28.97;33.30;26.25;25.08;;
2000000;"PODLASKIE";13;13.69;14.77;15.62;25.79;17.51;17.25;17.61;18.20;18.02;16.96;14.07;15.33;18.19;18.34;21.16;;
2200000;"POMORSKIE";11;12.46;12.41;12.50;12.81;13.12;13.63;14.29;14.45;13.47;12.66;12.59;12.79;13.58;14.93;15.60;;
2400000;"ŚLĄSKIE";18;18.35;17.79;19.56;27.35;21.37;25.71;27.09;29.42;27.94;22.76;16.75;17.90;19.69;22.76;23.28;;
2600000;"ŚWIĘTOKRZYSKIE";7;8.29;10.06;12.51;37.43;19.63;21.68;18.43;18.54;20.77;14.46;15.76;20.92;26.91;25.85;24.55;;
2800000;"WARMIŃSKO-MAZURSKIE";16;16.64;17.01;18.19;22.49;17.77;16.64;17.10;17.66;18.49;16.10;15.67;19.72;24.13;25.59;23.98;;
3000000;"WIELKOPOLSKIE";12;13.37;13.03;12.61;12.47;13.35;15.60;15.22;14.02;13.20;12.23;14.25;17.36;31.37;29.36;33.28;;
3200000;"ZACHODNIOPOMORSKIE";15;14.86;14.78;14.78;15.07;15.59;17.92;11.78;10.80;10.52;9.64;9.74;9.40;9.32;9.86;10.92;;
