"Code";"Name";"grand total;2005;[PLN]";"grand total;2006;[PLN]";"grand total;2007;[PLN]";"grand total;2008;[PLN]";"grand total;2009;[PLN]";"grand total;2010;[PLN]";"grand total;2011;[PLN]";"grand total;2012;[PLN]";"grand total;2013;[PLN]";"grand total;2014;[PLN]";"grand total;2015;[PLN]";"grand total;2016;[PLN]";"grand total;2017;[PLN]";"grand total;2018;[PLN]";"grand total;2019;[PLN]";"grand total;2020;[PLN]";"grand total;2021;[PLN]";
0000000;"POLAND";199;262.98;291.01;341.14;536.48;395.80;424.10;409.01;429.25;473.92;447.35;328.35;372.63;431.68;478.71;513.84;;
0200000;"DOLNOŚLĄSKIE";197;275.74;304.72;349.75;552.85;446.89;520.24;578.76;545.61;671.92;447.81;372.97;385.97;396.63;384.36;382.22;;
0400000;"KUJAWSKO-POMORSKIE";179;258.57;287.62;310.06;471.07;405.40;369.38;365.19;354.45;399.32;459.22;322.05;330.65;392.36;431.45;512.43;;
0600000;"LUBELSKIE";168;223.91;240.09;322.91;441.83;351.68;412.38;387.73;481.28;690.21;625.47;344.27;403.38;441.03;584.29;431.22;;
0800000;"LUBUSKIE";238;305.33;331.67;337.14;769.95;501.86;490.87;436.68;565.75;514.53;482.00;379.79;469.30;445.81;518.35;616.44;;
1000000;"ŁÓDZKIE";125;150.84;218.51;260.33;559.95;338.96;377.02;357.05;299.21;290.96;300.11;259.75;260.52;325.21;388.95;422.44;;
1200000;"MAŁOPOLSKIE";164;192.29;221.76;281.30;455.07;359.90;420.39;341.13;329.87;361.49;328.66;330.22;382.37;386.67;391.72;589.10;;
1400000;"MAZOWIECKIE";330;457.30;526.86;592.73;622.24;477.22;492.09;465.29;412.94;470.81;485.58;419.56;427.92;489.37;596.42;611.32;;
1600000;"OPOLSKIE";232;298.27;332.86;359.46;670.78;544.85;476.89;407.10;440.07;470.76;391.95;460.89;451.29;503.91;518.34;557.67;;
1800000;"PODKARPACKIE";150;261.57;244.82;308.03;547.56;460.56;452.32;418.52;522.48;591.38;623.55;288.75;430.79;536.96;496.76;566.02;;
2000000;"PODLASKIE";152;240.71;255.29;280.65;517.64;341.84;431.14;410.22;468.86;623.42;781.93;315.00;439.93;672.10;836.57;731.82;;
2200000;"POMORSKIE";201;253.64;270.90;321.54;573.79;384.03;418.60;402.25;362.34;356.17;348.06;305.50;359.96;448.97;563.64;452.85;;
2400000;"ŚLĄSKIE";198;222.36;212.92;271.72;372.47;304.05;314.54;317.99;370.25;385.83;391.38;264.38;269.54;320.06;330.14;428.81;;
2600000;"ŚWIĘTOKRZYSKIE";133;199.80;244.63;293.71;593.40;436.57;413.72;539.64;578.09;492.13;547.41;306.23;387.48;564.67;554.31;482.87;;
2800000;"WARMIŃSKO-MAZURSKIE";204;265.73;308.69;315.15;568.15;372.33;399.47;467.96;637.94;830.13;658.01;320.37;363.67;428.10;472.38;591.58;;
3000000;"WIELKOPOLSKIE";173;227.42;233.97;283.89;553.15;326.29;392.18;328.46;400.11;353.63;299.42;273.61;336.64;363.97;451.25;468.72;;
3200000;"ZACHODNIOPOMORSKIE";194;222.06;267.11;316.74;644.56;455.94;494.76;477.70;482.42;506.80;430.95;337.50;472.26;559.05;463.44;569.37;;
