"Code";"Name";"year;2005;[%]";"year;2006;[%]";"year;2007;[%]";"year;2008;[%]";"year;2009;[%]";"year;2010;[%]";"year;2011;[%]";"year;2012;[%]";"year;2013;[%]";"year;2014;[%]";"year;2015;[%]";"year;2016;[%]";"year;2017;[%]";"year;2018;[%]";"year;2019;[%]";"year;2020;[%]";"year;2021;[%]";
0000000;"POLAND";61.39;61.29;61.17;61.07;60.99;60.77;60.68;60.56;60.42;60.34;60.27;60.18;60.13;60.05;60.01;59.86;59.75;
0200000;"DOLNOŚLĄSKIE";71.05;70.87;70.65;70.48;70.28;69.94;69.76;69.60;69.42;69.28;69.17;68.95;68.78;68.61;68.41;68.18;68.08;
0201000;"Powiat bolesławiecki";50.98;50.56;50.16;49.85;49.47;49.18;49.01;48.76;48.54;48.36;48.37;48.13;48.05;47.86;47.81;47.62;47.55;
0201011;"Bolesławiec (1)";;;;;;;;;;;;100.00;100.00;100.00;100.00;100.00;100.00;
0201043;"Nowogrodziec (3)";;;;;;;;;;;;27.67;27.76;27.76;27.65;27.99;27.88;
0201044;"Nowogrodziec - urban area (4)";;;;;;;;;;;;100.00;100.00;100.00;100.00;100.00;100.00;
0202000;"Powiat dzierżoniowski";81.37;81.31;81.36;81.35;81.36;81.42;81.34;81.41;81.31;81.24;81.20;78.87;78.85;78.83;78.82;78.75;78.60;
0202011;"Bielawa (1)";;;;;;;;;;;;100.00;100.00;100.00;100.00;100.00;100.00;
0202021;"Dzierżoniów (1)";;;;;;;;;;;;100.00;100.00;100.00;100.00;100.00;100.00;
0202033;"Pieszyce (3)";;;;;;;;;;;;75.05;75.08;75.18;75.40;75.25;75.13;
0202034;"Pieszyce - urban area (4)";;;;;;;;;;;;100.00;100.00;100.00;100.00;100.00;100.00;
0202041;"Piława Górna (1)";;;;;;;;;;;;100.00;100.00;100.00;100.00;100.00;100.00;
0202073;"Niemcza (3)";;;;;;;;;;;;53.77;53.76;54.05;54.17;54.19;53.64;
0202074;"Niemcza - urban area (4)";;;;;;;;;;;;100.00;100.00;100.00;100.00;100.00;100.00;
0203000;"Powiat głogowski";78.86;78.40;77.98;77.65;77.41;77.10;76.74;76.54;76.41;76.30;76.12;75.89;75.81;75.51;75.17;74.76;74.30;
